vehicle;image;sequence;movie
Lotus Esprit S1 (1976);Vehicle_-_Lotus_Esprit_S2.png;Including all of the usual Q refinements, this car was equipped with surface to air missiles. The main feature of the car however was the ability to transform into a submarine. Once transformed it could unleash depth charges and smoke screens. The car was nicknamed ''Wet Nellie'', a reference to the autogyro provided by Q for Bond's use in ''You Only Live Twice''.;The Spy Who Loved Me
Ford Taunus Ghia;Vehicle_-_Ford_Taunus.png;used by Stromberg's thugs (+ Jaws) to pursue Bond on a highway in . Bond sprays grease on the windshield where the car runs off the road.;The Spy Who Loved Me
Leyland Sherpa 240;Vehicle_-_Leyland Sherpa 240.png;Van used by Jaws, who tricks Bond and Anya to sneak in the van, only for Jaws to take them to the pillars where he tries to kill them.;The Spy Who Loved Me
Kawasaki Z900-A4;1976-kawasaki-z900-sidecar.jpeg;used by the motorcycle assassin trying to kill Bond and Anya while they drive the Lotus Esprit on the roads of Sardinia.;The Spy Who Loved Me
Westland WS-61 Sea King;Bondwiki Westland WS-61 SeaKing.jpg;Royal Navy helicopter that Bond travels in to arrive in the meeting with the British officials.;The Spy Who Loved Me
Bell 206 JetRanger;Vehicle_-_Bell_206_JetRanger.png;an Bell 206 is owned by Karl Stromberg. When Bond begins investigating his affairs, chopper pilot  is dispatched to assassinate him from the air. A chase sequence across the Italian island of Sardinia ensues, culminating in Bond's  being driven off the end of a pier into the sea. Unaware of its sub-aquatic abilities, Naomi was eliminated by a surface to air missile launched by the car.;The Spy Who Loved Me
Westland WS-58 Wessex;Unknown - Infobox.png;Royal Navy helicopter that brings Bond and Amasova to the USS Wayne.;The Spy Who Loved Me
Wetbike;Gadgets_-_TSWLM_-_Jetski.png;No description available;The Spy Who Loved Me
Shark Hunter II Submersible;Stromberg Shark Hunter II - Profile.png;used by Stromberg's men to attack Bond's Lotus Esprit underwater.;The Spy Who Loved Me
Intermarine Cigarette 37;Unknown - Infobox.png;driven by Naomi to sail Bond and Anya to Atlantis.;The Spy Who Loved Me
HMS Ranger;Unknown - Infobox.png;No description available;The Spy Who Loved Me
Potemkin;Unknown - Infobox.png;No description available;The Spy Who Loved Me
USS Wayne;Unknown - Infobox.png;No description available;The Spy Who Loved Me
HMS Fearless (L10);Unknown - Infobox.png;appears at the end of the film to extract Bond and Anya's escape pod.;The Spy Who Loved Me
Liparus;Vehicle_-_Liparus.png;No description available;The Spy Who Loved Me
BMW Z8;Vehicle_-_BMW_Z8.png;Loaded with several Q refinements including ground to air missiles, a key chain that can control the car remotely, and as R proudly points out, cup holders. For films, this is the first car Bond is given by Q-branch where the steering wheel is on the left side.;The World Is Not Enough
Lada Niva (VAZ-2121);None-listed-lada-niva-4x4.jpeg;used by Davidov to drive to the airfield to meet Renard's men.;The World Is Not Enough
Rolls-Royce Silver Shadow II;Vehicle_-_Rolls-Royce_Silver_Shadow_II.png;Valentin Zukovsky's personal car, which ends up in the Caspian Sea after the catwalk was severed.;The World Is Not Enough
Eurocopter AS355;The World Is Not Enough - Eurocopter AS-355-F1 & BMW Z8 Miniature.jpg;used by King Industries as aerial saws.;The World Is Not Enough
Eurocopter AS365 Dauphin;Vehicle_-_AS365 Dauphin.png;Elektra's private copter. Used by her and Bond to travel to ski at the Caucasus Mountains.;The World Is Not Enough
Parahawk;Vehicle_-_Parahawk.png;Several are sent to kill Bond as part of a scheme devised by Electra King and Renard.;The World Is Not Enough
CASA C-212CB Aviocar;Vehicle_-_CASA_c212_Aviocar.png;"""Russian plane"" used by Renard's men. It first appears when Trukhin, Bond and other men fly to Kazakhstan. After Renard and co. have stolen the warhead from the Test Site, Bond and Dr. Jones see the plane flying away.";The World Is Not Enough
Q-Boat;Vehicle_-_Q_Boat.png;No description available;The World Is Not Enough
Sunseeker Superhawk 34;Vehicle_-_Sunseeker_Superhawk_34.png;"the sportsboat used by the ""Cigar Girl"" to flee Bond after the MI6 headquarters is exploded. She crashes it by the Millennium Dome.";The World Is Not Enough
Seven Heaven;Vehicle_-_Princess_40.png;used by Renard/Elektra's men to travel from coast to the Maiden's Tower.;The World Is Not Enough
Victor-III Class Submarine;TWINE - Victor-III submarine crashes.png;No description available;The World Is Not Enough
Aston Martin DB5;Vehicle_-_Aston_Martin_DB5.png;No description available;Thunderball
Ford Fairlane 500 Skyliner (Retractable Hardtop model);Vehicle_-_Ford_Fairlane_500_Thunderball.png;No description available;Thunderball
Ford Mustang Convertible;Vehicle_-_1965_Ford_Mustang.png;No description available;Thunderball
BSA Lightning A65L;Vehicle_-_BSA_Lightning_-A65L-.png;No description available;Thunderball
Bell-Textron Jet Pack;Rocket Belt.png;used by Bond to escape the henchmen after having eliminated Jacques Bouvar.;Thunderball
Avro Vulcan;Vehicle_-_Avro_Vulcan_Bomber.png;No description available;Thunderball
Boeing B-17 Flying Fortress;No image;No description available;Thunderball
Boeing C-97 Stratofreighter;No image;No description available;Thunderball
Bell 47J Ranger;Vehicle - Bell 47J Ranger.png;No description available;Thunderball
Underwater Attack Sledge;Vehicle - Attack Sledge.png;No description available;Thunderball
Underwater Bomb Sledge;Unknown - Bomb Sledge.png;No description available;Thunderball
Buehler Turbocraft;Vehicle - Buehler Turbocraft.png;No description available;Thunderball
Evinrude Sport-16;Vehicle - Evinrude Sport-16.png;No description available;Thunderball
Evinrude Playmate;Unknown - Infobox.png;No description available;Thunderball
Disco Volante;Vehicle_-_Disco_Volante.png;No description available;Thunderball
HMS Rothesay;Vehicle - HMS Rothesay.png;No description available;Thunderball
Aston Martin DB5;Vehicle_-_Aston_Martin_DB5.png;Bond's legendary DB5 makes a couple camoes early in the film. First seen at the Oxford university and Bond subsequently uses it to drive to the Ministry of Defence headquarters.;Tomorrow Never Dies
BMW 750iL;Vehicle_-_BMW_750iL.png;"used in , the car has a security system disallowing access without first being disarmed via the mobile telephone; the glove box security system is fingerprint-controlled. Armament includes sunroof rockets, deployable caltrops (out of the rear bumper), re-inflatable tyres, and a wire-cutter hidden under the BMW logo on the hood. The car may be remotely operated via Bond's mobile phone. The vehicle itself is actually a 740i model re-badged as a 750.";Tomorrow Never Dies
Daimler Limousine;Tnd daimler1.jpg;the car that passages M, Bond and Moneypenny at streets of London.;Tomorrow Never Dies
Ford Scorpio;Tnd scorpio1.jpg;one of the cars used by Carver's henchmen at the Hamburg multistorey car park sequence. Gets exploded by the LAW-80 rocket launcher.;Tomorrow Never Dies
Mercedes-Benz S-Klasse (W126);Vehicle - Mercedes-Benz S-Klasse (W126).png;one of the cars used by Carver's henchmen at the Hamburg multistorey car park sequence.;Tomorrow Never Dies
Opel Senator;Unknown - Infobox.png;one of the cars used by Carver's henchmen at the Hamburg multistorey car park sequence.;Tomorrow Never Dies
Land Rover Range Rover;Bondwiki_TND_RangeRoverSII_cropped.jpg;used by Carver's men to chase Bond and Wai Lin in Saigon.;Tomorrow Never Dies
BMW R1200C;Vehicle_-_BMW_R1200.png;stolen in Saigon, the BMW R1200 motorcycle was used in a chase sequence through the city and was ridden by both James Bond and  of the .;Tomorrow Never Dies
Aero L-39 Albatros;Vehicle_-_Albatros.png;light attack jet at the arms bazaar that's carrying two Soviet SB-5 nuclear torpedoes. Bond hijacks it to get it out of the terrorist hands and prevent the incoming Royal Navy cruise missile from exploding the L-39's nuclear payload.;Tomorrow Never Dies
Fairchild C-123 Provider;Vehicle_-_C123_Provider.png;No description available;Tomorrow Never Dies
Eurocopter AS355;Vehicle_-_Eurocopter AS355.png;used by Carver's men to extract Bond and Wai Lin from the site of the sunken Devonshire. Later used by them to chase Bond and Wai Lin escaping through Saigon.;Tomorrow Never Dies
Stealth Ship;Vehicle_-_Stealth_Ship.png;No description available;Tomorrow Never Dies
HMS Chester;Vehicle_- HMS Chester.png;No description available;Tomorrow Never Dies
HMS Devonshire;Vehicle_- HMS Devonshire.png;No description available;Tomorrow Never Dies
HMS Bedford;Unknown - Infobox.png;No description available;Tomorrow Never Dies
Toyota 2000GT convertible;Vehicle_-_Toyota_2000GT.png;"owned by Aki. <small>(Two prototype convertibles were built especially for the film; no others were made. One 2000GT convertible was located in South Africa awaiting restoration into the Cars for the Stars museum.)</small>";You Only Live Twice
Toyopet Crown Deluxe;Vehicle_-_Toyota_Crown_Deluxe.png;used by gunmen who chase Bond and Aki's 2000GT. It gets grabbed by the KV-107's magnet and dropped in the sea.;You Only Live Twice
Dodge Polara;Polara1.jpg;used by the Japanese assassins who kill Dikko Henderson.;You Only Live Twice
Little Nellie;Vehicle_-_Little_Nellie.png;heavily armed gyrocopter that could be transported in several cases and quickly assembled in the field.;You Only Live Twice
Kawasaki KV-107;Vehicle_-_Kawasaki_KV-107.png;A vehicle pursuing Bond and Aki is dispatched by the use of this Japanese variant of the Boeing-Vertol Sea Knight and a large magnet suspended from the helicopter.;You Only Live Twice
Kawasaki-Bell 47G-3;Vehicle_-_Kawasaki-Bell 47G-3.png;Operated by SPECTRE, these helicopters attack Bond flying the Little Nellie to scout where the Ning-Po ship had unloaded its cargo.;You Only Live Twice
Aero Commander 200;Aerocommander1.jpg;used by Helga Brandt, it is later used by her to trap Bond and crash the plane to kill him.;You Only Live Twice
Ning-Po;Vehicle_-_NingPo.png;No description available;You Only Live Twice
HMS Tenby;Tenby1.jpg;Bond's fake military funeral is held aboard this ship.;You Only Live Twice
HMS Aeneas (P427);Vehicle_-_HMS_Aeneas_P427_YOLT.png;the submarine that picks up Bond after the fake funeral. At the end of the film, it surfaces right on the spot where Bond's and Kissy's raft is.;You Only Live Twice
Jupiter 16;Vehicle - Jupiter 16.png;the American space capsule captured by Bird 1.;You Only Live Twice
Vostok 16;Vehicle - Vostok 16.png;the Soviet space capsule captured by Bird 1.;You Only Live Twice
Jupiter 17;Vehicle - Jupiter 17.png;the second American space capsule. Bond destructs the Bird 1 before its able to snatch it.;You Only Live Twice
Bird 1;Vehicle_-_Bird_One.png;built by , the Bird One spacecraft was designed to kidnap American and Soviet orbital vehicles, engulfing the target craft and returning it to SPECTRE's hidden launch site in Japan.;You Only Live Twice
